servico_reclamacoes,tempo_resolucao_horas,satisfacao_cliente
Suporte Tecnico N1,45,5.2,1.2
Desenvolvimento de Software,3,0.8,4.9
Infraestrutura Cloud,14,2.1,3.8
Faturamento e Cobranca,28,3.9,2.4
Consultoria de TI,1,0.5,5
Seguranca da Informacao,8,1.4,4.2
Implantacao de Sistemas,35,4.8,1.9
Treinamento de Clientes,12,2,3.9
Gestao de Servidores,22,3.1,2.8
Suporte Avancado N2,6,1.1,4.6
Suporte Tecnico N1,40,4.9,1.5
Desenvolvimento de Software,2,0.6,4.8
Infraestrutura Cloud,11,1.8,4.1
Faturamento e Cobranca,31,4.2,1.7
Consultoria de TI,4,0.9,4.7
Seguranca da Informacao,9,1.6,4
Implantacao de Sistemas,38,5.1,1.4
Treinamento de Clientes,15,2.3,3.7
Gestao de Servidores,25,3.4,2.6
Suporte Avancado N2,5,1,4.5
Suporte Tecnico N1,42,5,1.3
Desenvolvimento de Software,5,1.1,4.4
Infraestrutura Cloud,13,2,3.9
Faturamento e Cobranca,29,4,2.1
Consultoria de TI,2,0.7,4.9
Seguranca da Informacao,7,1.3,4.3
Implantacao de Sistemas,36,4.7,1.8
Treinamento de Clientes,11,1.9,4
Gestao de Servidores,21,2.9,2.9
Suporte Avancado N2,8,1.4,4.2
Suporte Tecnico N1,48,5.5,1.1
Desenvolvimento de Software,1,0.5,5
Infraestrutura Cloud,15,2.2,3.7
Faturamento e Cobranca,33,4.5,1.6
Consultoria de TI,3,0.8,4.8
Seguranca da Informacao,6,1.2,4.4
Implantacao de Sistemas,39,5.3,1.3
Treinamento de Clientes,14,2.2,3.8
Gestao de Servidores,24,3.3,2.7
Suporte Avancado N2,7,1.3,4.3
Suporte Tecnico N1,44,5.1,1.4
Desenvolvimento de Software,4,1,4.5
Infraestrutura Cloud,12,1.9,4
Faturamento e Cobranca,27,3.8,2.5
Consultoria de TI,2,0.6,4.9
Seguranca da Informacao,10,1.7,3.9
Implantacao de Sistemas,37,5,1.6
Treinamento de Clientes,13,2.1,3.8
Gestao de Servidores,23,3.2,2.8
Suporte Avancado N2,9,1.5,4.1
Suporte Tecnico N1,46,5.3,1.2
Desenvolvimento de Software,3,0.7,4.7
Infraestrutura Cloud,16,2.4,3.6
Faturamento e Cobranca,32,4.4,1.8
Consultoria de TI,1,0.4,5
Seguranca da Informacao,5,1.1,4.6
Implantacao de Sistemas,41,5.6,1.1
Treinamento de Clientes,16,2.4,3.6
Gestao de Servidores,26,3.6,2.5
Suporte Avancado N2,4,0.9,4.7
Suporte Tecnico N1,43,4.8,1.5
Desenvolvimento de Software,2,0.5,4.9
Infraestrutura Cloud,10,1.7,4.2
Faturamento e Cobranca,30,4.1,2
Consultoria de TI,5,1,4.4
Seguranca da Informacao,8,1.5,4.1
Implantacao de Sistemas,34,4.5,2
Treinamento de Clientes,10,1.8,4.1
Gestao de Servidores,20,2.8,3
Suporte Avancado N2,6,1.2,4.4
Suporte Tecnico N1,49,5.7,1
Desenvolvimento de Software,4,0.9,4.6
Infraestrutura Cloud,14,2.1,3.9
Faturamento e Cobranca,34,4.6,1.5
Consultoria de TI,3,0.7,4.8
Seguranca da Informacao,7,1.4,4.3
Implantacao de Sistemas,42,5.8,1.2
Treinamento de Clientes,12,2.1,3.9
Gestao de Servidores,27,3.7,2.4
Suporte Avancado N2,5,1.1,4.6
Suporte Tecnico N1,41,5,1.4
Desenvolvimento de Software,1,0.4,5
Infraestrutura Cloud,12,1.8,4.1
Faturamento e Cobranca,26,3.7,2.6
Consultoria de TI,2,0.5,4.9
Seguranca da Informacao,9,1.6,4
Implantacao de Sistemas,35,4.6,1.9
Treinamento de Clientes,15,2.3,3.7
Gestao de Servidores,22,3,2.9
Suporte Avancado N2,7,1.2,4.4
Suporte Tecnico N1,47,5.4,1.1
Desenvolvimento de Software,3,0.8,4.8
Infraestrutura Cloud,13,2,3.8
Faturamento e Cobranca,35,4.7,1.4
Consultoria de TI,4,0.9,4.6
Seguranca da Informacao,6,1.3,4.5
Implantacao de Sistemas,40,5.4,1.3
Treinamento de Clientes,13,2,3.9
Gestao de Servidores,24,3.2,2.7
Suporte Avancado N2,8,1.5,4.2